input,output
"How does the principle of thermodynamics apply to engines, and what are its environmental impacts?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS', 'GEOGRAPHY'], 'topic': ['THERMODYNAMICS', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"What is the role of the excretory system, and how does it interact with environmental toxins?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['BIOLOGY', 'GEOGRAPHY'], 'topic': ['HUMAN_BODY', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"Calculate the standard deviation of the dataset [4, 6, 8, 10, 12], and explain its significance in data analysis.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH'], 'topic': ['STATISTICS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_11']}"
Analyze the theme of betrayal in 'Othello' and answer a related comprehension question.,"{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'THEORY_REVIEW'], 'subject': ['ENGLISH'], 'topic': ['LITERATURE', 'COMPREHENSION'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
How do rivers influence agriculture and urban development?,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['GEOGRAPHY'], 'topic': ['RESOURCES', 'PHYSICAL_FEATURES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"What is the role of redox reactions in electrochemistry, and how are they used in batteries?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY', 'PHYSICS'], 'topic': ['CHEMICAL_REACTIONS', 'ELECTRICITY'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"Solve for the derivative of f(x) = x³sin(x), and discuss its applications in vibration analysis.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH', 'PHYSICS'], 'topic': ['CALCULUS', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
How did the Russian Revolution influence global politics and economic systems?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY'], 'topic': ['FREEDOM_MOVEMENTS', 'MODERN_HISTORY'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"What are the ecological impacts of plastic pollution, and how can they be studied in a lab?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['BIOLOGY', 'GEOGRAPHY'], 'topic': ['NOT_FOUND', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"Write a program to implement a sorting algorithm, and explain its use in data processing.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['COMPUTER_SCIENCE'], 'topic': ['ALGORITHMS', 'PROGRAMMING_BASICS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"What is the principle of magnetic fields, and how is it applied in electric motors?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS'], 'topic': ['ELECTRICITY', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
Which of the following are functions of chloroplasts? A) Photosynthesis B) Energy storage C) Cell division D) Pigment production,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['BIOLOGY'], 'topic': ['PLANT_PHYSIOLOGY', 'CELL_STRUCTURE'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_7']}"
"What are the rules for active and passive voice, and analyze their use in a given text?","{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'EXAM_PREPARATION'], 'subject': ['ENGLISH'], 'topic': ['GRAMMAR', 'COMPREHENSION'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"Calculate the area of a parallelogram with base 8cm and height 5cm, and explain its use in architecture.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['MATH'], 'topic': ['GEOMETRY'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
"What are the causes and effects of biodiversity loss, and how can they be mitigated?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['BIOLOGY', 'GEOGRAPHY'], 'topic': ['NOT_FOUND', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
Explain the concept of superconductivity and its applications in medical imaging and transportation.,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS', 'BIOLOGY'], 'topic': ['ELECTRICITY', 'HUMAN_BODY'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"Solve the equation ln(x) = 2, and discuss its applications in population growth models.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH', 'BIOLOGY'], 'topic': ['ALGEBRA', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_11']}"
Which of the following are characteristics of organic compounds? A) Contain carbon B) High boiling point C) Form ionic bonds D) Found in living organisms,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY', 'BIOLOGY'], 'topic': ['CHEMICAL_REACTIONS', 'NOT_FOUND'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
How did the Han Dynasty contribute to trade and technological advancements?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY', 'GEOGRAPHY'], 'topic': ['ANCIENT_CIVILIZATIONS', 'RESOURCES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"Write a Python script to find the LCM of two numbers, and explain its use in scheduling algorithms.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['COMPUTER_SCIENCE', 'MATH'], 'topic': ['PROGRAMMING_BASICS', 'NUMBER_SYSTEMS', 'ALGORITHMS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"How does the principle of centripetal force apply to circular motion, and what are its uses in amusement park rides?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS'], 'topic': ['LAWS_OF_MOTION', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"What is the role of the skeletal system, and how does it interact with environmental factors like nutrition?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['BIOLOGY', 'GEOGRAPHY'], 'topic': ['HUMAN_BODY', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"Calculate the correlation coefficient for the dataset [(1,2), (3,4), (5,6)], and explain its use in predictive modeling.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH'], 'topic': ['STATISTICS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
Analyze the theme of justice in 'To Kill a Mockingbird' and answer a related comprehension question.,"{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'THEORY_REVIEW'], 'subject': ['ENGLISH'], 'topic': ['LITERATURE', 'COMPREHENSION'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
How do coral reefs support marine ecosystems and influence coastal economies?,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['GEOGRAPHY', 'BIOLOGY'], 'topic': ['ENVIRONMENTAL_STUDIES', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"What is the role of pH in chemical reactions, and how is it applied in agriculture?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY', 'GEOGRAPHY'], 'topic': ['ACIDS_BASES_SALTS', 'RESOURCES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"Solve for the integral of ∫cos(x) dx from 0 to π/2, and discuss its applications in signal analysis.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH', 'COMPUTER_SCIENCE'], 'topic': ['CALCULUS', 'ALGORITHMS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
How did the Renaissance contribute to art and scientific inquiry?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY'], 'topic': ['MODERN_HISTORY', 'ANCIENT_CIVILIZATIONS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"What are the ecological impacts of oil spills, and how can they be studied in a controlled environment?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['BIOLOGY', 'GEOGRAPHY'], 'topic': ['NOT_FOUND', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"Write a program to implement a graph traversal algorithm, and explain its use in network analysis.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['COMPUTER_SCIENCE'], 'topic': ['ALGORITHMS', 'DATA_STRUCTURES'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"What is the principle of fluid dynamics, and how is it applied in aerodynamics?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS'], 'topic': ['LAWS_OF_MOTION', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
Which of the following are components of RNA? A) Sugar molecule B) Phosphate group C) Amino acid D) Nitrogenous base,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['BIOLOGY'], 'topic': ['CELL_STRUCTURE', 'HEREDITY_AND_EVOLUTION'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
"What are the rules for writing a thesis statement, and analyze one in a given essay?","{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'EXAM_PREPARATION'], 'subject': ['ENGLISH'], 'topic': ['WRITING_SKILLS', 'COMPREHENSION'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"Calculate the perimeter of a square with side length 10cm, and explain its use in urban planning.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['MATH', 'GEOGRAPHY'], 'topic': ['GEOMETRY', 'NOT_FOUND'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_7']}"
"What are the causes and effects of air pollution, and how can they be mitigated through policy?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['GEOGRAPHY', 'CHEMISTRY'], 'topic': ['ENVIRONMENTAL_STUDIES', 'CHEMICAL_REACTIONS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
Explain the concept of black holes and their role in astrophysics and gravitational studies.,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS'], 'topic': ['GRAVITATION', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"Solve the equation e^x = 3, and discuss its applications in exponential growth models.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH', 'BIOLOGY'], 'topic': ['ALGEBRA', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_11']}"
Which of the following are characteristics of halogens? A) Highly reactive B) Form salts C) Low electronegativity D) Found in group 17,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY'], 'topic': ['PERIODIC_TABLE', 'CHEMICAL_REACTIONS'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
How did the Byzantine Empire influence art and governance in medieval Europe?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY'], 'topic': ['MEDIEVAL_HISTORY', 'ANCIENT_CIVILIZATIONS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"Write a Python script to check if a number is a perfect square, and explain its use in geometric algorithms.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['COMPUTER_SCIENCE', 'MATH'], 'topic': ['PROGRAMMING_BASICS', 'NUMBER_SYSTEMS', 'GEOMETRY'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"How does the principle of projectile motion apply to sports, and what are its safety implications?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS'], 'topic': ['LAWS_OF_MOTION', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"What is the role of the reproductive system, and how does it interact with environmental factors?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['BIOLOGY', 'GEOGRAPHY'], 'topic': ['HUMAN_BODY', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"Calculate the probability of drawing two aces from a deck of 52 cards, and explain its use in game theory.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH'], 'topic': ['STATISTICS', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_11']}"
Analyze the theme of ambition in 'The Great Gatsby' and answer a related comprehension question.,"{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'THEORY_REVIEW'], 'subject': ['ENGLISH'], 'topic': ['LITERATURE', 'COMPREHENSION'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
How do forests influence climate regulation and resource availability?,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['GEOGRAPHY', 'BIOLOGY'], 'topic': ['ENVIRONMENTAL_STUDIES', 'RESOURCES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"What is the role of chemical kinetics in reaction rates, and how is it applied in industrial processes?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY'], 'topic': ['CHEMICAL_REACTIONS', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"Solve for the derivative of f(x) = x²ln(x), and discuss its applications in optimization problems.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH'], 'topic': ['CALCULUS', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
How did the Indian Independence Movement influence global decolonization efforts?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY'], 'topic': ['FREEDOM_MOVEMENTS', 'MODERN_HISTORY'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"What are the ecological impacts of habitat fragmentation, and how can they be studied experimentally?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['BIOLOGY', 'GEOGRAPHY'], 'topic': ['NOT_FOUND', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"Write a program to implement a depth-first search, and explain its use in pathfinding algorithms.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['COMPUTER_SCIENCE'], 'topic': ['ALGORITHMS', 'DATA_STRUCTURES'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"What is the principle of heat transfer, and how is it applied in climate control systems?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS'], 'topic': ['THERMODYNAMICS', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
Which of the following are functions of the nucleus? A) Controls cell activities B) Stores genetic material C) Synthesizes proteins D) Regulates transport,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['BIOLOGY'], 'topic': ['CELL_STRUCTURE', 'HEREDITY_AND_EVOLUTION'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_7']}"
"What are the rules for using hyphens, and analyze their use in a given text?","{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'EXAM_PREPARATION'], 'subject': ['ENGLISH'], 'topic': ['GRAMMAR', 'COMPREHENSION'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"Calculate the area of a trapezoid with bases 6cm and 4cm and height 5cm, and explain its use in construction.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['MATH'], 'topic': ['GEOMETRY'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
"What are the causes and effects of water pollution, and how can they be mitigated through technology?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['GEOGRAPHY', 'CHEMISTRY'], 'topic': ['ENVIRONMENTAL_STUDIES', 'CHEMICAL_REACTIONS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
Explain the concept of dark matter and its role in galaxy formation and cosmology.,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS'], 'topic': ['GRAVITATION', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"Solve the equation 2x² + 3x - 5 = 0, and discuss its applications in structural engineering.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH'], 'topic': ['ALGEBRA', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
Which of the following are properties of alkali metals? A) Soft and shiny B) Form basic oxides C) High electronegativity D) Found in group 1,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY'], 'topic': ['PERIODIC_TABLE', 'METALS_NONMETALS'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
How did the Inca Empire contribute to architecture and agriculture in South America?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY', 'GEOGRAPHY'], 'topic': ['ANCIENT_CIVILIZATIONS', 'RESOURCES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"Write a Python script to calculate the sum of digits in a number, and explain its use in checksum algorithms.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['COMPUTER_SCIENCE', 'MATH'], 'topic': ['PROGRAMMING_BASICS', 'NUMBER_SYSTEMS', 'ALGORITHMS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"How does the principle of wave interference apply to sound, and what are its uses in noise cancellation technology?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS'], 'topic': ['OPTICS', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"What is the role of the muscular system, and how does it interact with environmental factors like exercise?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['BIOLOGY'], 'topic': ['HUMAN_BODY', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"Calculate the mean absolute deviation of the dataset [2, 4, 6, 8, 10], and explain its use in statistical analysis.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH'], 'topic': ['STATISTICS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_11']}"
Analyze the theme of isolation in 'Lord of the Flies' and answer a related comprehension question.,"{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'THEORY_REVIEW'], 'subject': ['ENGLISH'], 'topic': ['LITERATURE', 'COMPREHENSION'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
How do deserts influence climate patterns and human adaptation strategies?,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['GEOGRAPHY'], 'topic': ['WEATHER_AND_CLIMATE', 'PHYSICAL_FEATURES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"What is the role of coordination compounds in chemistry, and how are they used in medical applications?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY', 'BIOLOGY'], 'topic': ['CHEMICAL_REACTIONS', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"Solve for the integral of ∫x²sin(x) dx from 0 to π, and discuss its applications in oscillatory systems.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH', 'PHYSICS'], 'topic': ['CALCULUS', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
How did the Vietnam War influence global politics and social movements?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY'], 'topic': ['WORLD_WARS', 'MODERN_HISTORY'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"What are the ecological impacts of agricultural runoff, and how can they be studied in a lab?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['BIOLOGY', 'GEOGRAPHY'], 'topic': ['NOT_FOUND', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"Write a program to implement a breadth-first search, and explain its use in network routing.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['COMPUTER_SCIENCE'], 'topic': ['ALGORITHMS', 'DATA_STRUCTURES'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"What is the principle of mechanical advantage, and how is it applied in simple machines?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS'], 'topic': ['WORK_AND_ENERGY', 'LAWS_OF_MOTION'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
Which of the following are functions of ribosomes? A) Protein synthesis B) Energy production C) Genetic storage D) Cellular transport,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['BIOLOGY'], 'topic': ['CELL_STRUCTURE', 'NOT_FOUND'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_7']}"
"What are the rules for using parentheses in writing, and analyze their use in a given text?","{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'EXAM_PREPARATION'], 'subject': ['ENGLISH'], 'topic': ['GRAMMAR', 'COMPREHENSION'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"Calculate the volume of a sphere with radius 6cm, and explain its use in fluid dynamics.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['MATH', 'PHYSICS'], 'topic': ['GEOMETRY', 'NOT_FOUND'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
"What are the causes and effects of coastal erosion, and how can they be mitigated through engineering?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['GEOGRAPHY', 'PHYSICS'], 'topic': ['PHYSICAL_FEATURES', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
Explain the concept of gravitational waves and their detection in modern astrophysics.,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS'], 'topic': ['GRAVITATION', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"Solve the equation 3x² - 6x + 2 = 0, and discuss its applications in projectile motion analysis.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH', 'PHYSICS'], 'topic': ['ALGEBRA', 'LAWS_OF_MOTION'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
Which of the following are properties of noble gases? A) Inert B) High reactivity C) Form diatomic molecules D) Found in group 18,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY'], 'topic': ['PERIODIC_TABLE', 'ATOMIC_STRUCTURE'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
How did the Egyptian civilization contribute to mathematics and engineering?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY', 'MATH'], 'topic': ['ANCIENT_CIVILIZATIONS', 'GEOMETRY'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
